iter	Passed	Remaining
400	24283	36273
401	24339	36206
402	24400	36147
403	24454	36076
404	24510	36009
405	24573	35952
406	24633	35891
407	24689	35823
408	24739	35747
409	24798	35686
410	24856	35622
411	24907	35547
412	24970	35490
413	25034	35435
414	25090	35367
415	25147	35302
416	25203	35235
417	25256	35166
418	25309	35094
419	25372	35038
420	25429	34973
421	25484	34905
422	25541	34840
423	25597	34774
424	25657	34713
425	25715	34649
426	25772	34584
427	25829	34519
428	25885	34453
429	25948	34396
430	26005	34332
431	26059	34263
432	26112	34193
433	26170	34130
434	26227	34066
435	26282	33998
436	26338	33932
437	26399	33873
438	26454	33806
439	26513	33744
440	26569	33679
441	26628	33616
442	26683	33550
443	26737	33482
444	26787	33409
445	26841	33340
446	26899	33278
447	26956	33214
448	27013	33150
449	27065	33080
450	27122	33015
451	27177	32950
452	27230	32881
453	27291	32822
454	27348	32758
455	27407	32696
456	27456	32623
457	27514	32560
458	27579	32506
459	27633	32439
460	27688	32372
461	27742	32305
462	27795	32238
463	27853	32175
464	27910	32112
465	27965	32046
466	28027	31988
467	28086	31927
468	28158	31881
469	28211	31813
470	28265	31745
471	28327	31687
472	28381	31621
473	28436	31555
474	28492	31491
475	28549	31428
476	28601	31359
477	28658	31296
478	28710	31227
479	28765	31162
480	28817	31094
481	28879	31036
482	28941	30978
483	29000	30917
484	29067	30865
485	29129	30807
486	29186	30744
487	29244	30683
488	29304	30622
489	29364	30563
490	29432	30511
491	29495	30454
492	29553	30393
493	29611	30331
494	29666	30265
495	29717	30196
496	29769	30129
497	29825	30065
498	29882	30002
499	29934	29934
500	29992	29873
501	30048	29809
502	30105	29746
503	30152	29674
504	30209	29611
505	30284	29566
506	30337	29500
507	30394	29436
508	30451	29374
509	30503	29307
510	30555	29240
511	30617	29182
512	30673	29118
513	30728	29054
514	30785	28992
515	30844	28931
516	30903	28870
517	30958	28806
518	31016	28745
519	31079	28689
520	31137	28627
521	31194	28565
522	31254	28505
523	31308	28440
524	31369	28382
525	31427	28320
526	31478	28253
527	31532	28188
528	31593	28129
529	31650	28067
530	31703	28001
531	31759	27938
532	31817	27877
533	31877	27818
534	31931	27753
535	31993	27695
536	32042	27627
537	32096	27562
538	32156	27503
539	32216	27444
540	32274	27382
541	32325	27315
542	32380	27252
543	32439	27192
544	32496	27129
545	32560	27074
546	32624	27018
547	32682	26956
548	32739	26895
549	32798	26835
550	32854	26772
551	32906	26706
552	32967	26648
553	33024	26586
554	33076	26520
555	33136	26461
556	33200	26405
557	33255	26342
558	33310	26279
559	33371	26220
560	33428	26159
561	33485	26097
562	33545	26038
563	33610	25982
564	33665	25919
565	33724	25859
566	33777	25795
567	33832	25731
568	33889	25669
569	33946	25608
570	34003	25547
571	34058	25484
572	34120	25426
573	34179	25366
574	34227	25298
575	34285	25237
576	34341	25175
577	34401	25116
578	34456	25054
579	34513	24992
580	34572	24932
581	34621	24865
582	34681	24806
583	34740	24746
584	34799	24686
585	34857	24626
586	34921	24569
587	34984	24512
588	35043	24453
589	35101	24392
590	35163	24334
591	35224	24276
592	35291	24222
593	35356	24166
594	35415	24106
595	35475	24047
596	35530	23984
597	35576	23916
598	35677	23884
599	35746	23830
600	35800	23767
601	35853	23703
602	35912	23644
603	35966	23580
604	36020	23517
605	36076	23455
606	36134	23394
607	36190	23333
608	36249	23273
609	36307	23213
610	36365	23152
611	36422	23091
612	36480	23030
613	36539	22971
614	36594	22908
615	36650	22846
616	36704	22784
617	36757	22720
618	36815	22660
619	36869	22597
620	36921	22533
621	36979	22473
622	37045	22417
623	37105	22358
624	37160	22296
625	37219	22236
626	37276	22175
627	37332	22114
628	37388	22052
629	37445	21991
630	37503	21931
631	37556	21868
632	37612	21807
633	37674	21748
634	37732	21688
635	37793	21630
636	37855	21572
637	37907	21508
638	37967	21449
639	38016	21384
640	38072	21323
641	38127	21260
642	38184	21200
643	38239	21138
644	38289	21074
645	38348	21014
646	38407	20955
647	38462	20893
648	38519	20832
649	38579	20773
650	38644	20717
651	38702	20656
652	38762	20598
653	38823	20539
654	38882	20480
655	38944	20422
656	39009	20365
657	39070	20307
658	39133	20249
659	39194	20191
660	39258	20133
661	39318	20075
662	39386	20019
663	39441	19958
664	39498	19897
665	39561	19840
666	39613	19776
667	39662	19712
668	39722	19653
669	39781	19593
670	39839	19533
671	39899	19474
672	39959	19415
673	40019	19356
674	40071	19293
675	40129	19233
676	40187	19173
677	40241	19111
678	40298	19051
679	40356	18991
680	40415	18931
681	40476	18873
682	40531	18811
683	40585	18749
684	40639	18688
685	40693	18626
686	40753	18567
687	40807	18505
688	40862	18444
689	40918	18383
690	40967	18319
691	41024	18259
692	41097	18206
693	41163	18149
694	41222	18090
695	41277	18029
696	41347	17974
697	41410	17916
698	41469	17857
699	41534	17800
700	41600	17744
701	41659	17684
702	41716	17624
703	41777	17565
704	41835	17505
705	41892	17445
706	41954	17387
707	42012	17327
708	42069	17266
709	42128	17207
710	42184	17146
711	42241	17086
712	42299	17026
713	42350	16963
714	42403	16902
715	42465	16843
716	42524	16784
717	42579	16723
718	42640	16664
719	42699	16605
720	42759	16546
721	42814	16485
722	42874	16426
723	42936	16368
724	43003	16311
725	43065	16253
726	43125	16194
727	43181	16133
728	43247	16076
729	43317	16021
730	43371	15960
731	43440	15904
732	43505	15847
733	43570	15789
734	43632	15731
735	43692	15672
736	43757	15614
737	43818	15556
738	43874	15495
739	43933	15436
740	43991	15376
741	44044	15314
742	44101	15254
743	44154	15192
744	44212	15132
745	44275	15074
746	44332	15014
747	44387	14954
748	44450	14896
749	44517	14839
750	44575	14779
751	44633	14719
752	44692	14659
753	44744	14598
754	44799	14537
755	44862	14479
756	44916	14418
757	44976	14359
758	45029	14298
759	45080	14236
760	45135	14175
761	45193	14115
762	45250	14055
763	45309	13996
764	45370	13937
765	45433	13879
766	45490	13819
767	45549	13759
768	45610	13701
769	45671	13642
770	45724	13580
771	45782	13521
772	45841	13461
773	45894	13400
774	45953	13341
775	46013	13282
776	46072	13222
777	46127	13162
778	46188	13103
779	46249	13044
780	46309	12985
781	46366	12925
782	46412	12862
783	46470	12802
784	46534	12745
785	46593	12685
786	46650	12625
787	46707	12565
788	46768	12507
789	46828	12448
790	46885	12388
791	46942	12328
792	47001	12269
793	47055	12208
794	47108	12147
795	47167	12088
796	47225	12028
797	47289	11970
798	47350	11911
799	47407	11851
800	47471	11793
801	47525	11733
802	47592	11675
803	47648	11615
804	47705	11555
805	47759	11495
806	47814	11435
807	47867	11374
808	47924	11314
809	47979	11254
810	48034	11194
811	48091	11134
812	48151	11075
813	48210	11016
814	48267	10956
815	48333	10898
816	48402	10841
817	48457	10781
818	48521	10723
819	48582	10664
820	48635	10603
821	48693	10544
822	48748	10484
823	48814	10426
824	48864	10365
825	48919	10305
826	48978	10245
827	49030	10185
828	49090	10126
829	49143	10065
830	49197	10005
831	49256	9946
832	49313	9886
833	49378	9828
834	49436	9768
835	49494	9709
836	49554	9650
837	49620	9592
838	49685	9534
839	49748	9475
840	49809	9416
841	49863	9356
842	49923	9297
843	49974	9237
844	50030	9177
845	50095	9119
846	50152	9059
847	50207	8999
848	50265	8940
849	50327	8881
850	50386	8822
851	50441	8762
852	50495	8701
853	50550	8642
854	50601	8581
855	50659	8522
856	50722	8463
857	50780	8404
858	50854	8347
859	50918	8289
860	50981	8230
861	51043	8171
862	51109	8113
863	51169	8054
864	51233	7995
865	51300	7937
866	51358	7878
867	51415	7818
868	51476	7759
869	51536	7700
870	51590	7640
871	51646	7581
872	51713	7523
873	51766	7462
874	51818	7402
875	51874	7342
876	51937	7284
877	51988	7223
878	52040	7163
879	52102	7104
880	52158	7045
881	52213	6985
882	52276	6926
883	52341	6868
884	52403	6809
885	52467	6750
886	52527	6691
887	52580	6631
888	52645	6573
889	52711	6514
890	52778	6456
891	52840	6397
892	52905	6339
893	52966	6280
894	53028	6221
895	53095	6162
896	53157	6103
897	53211	6044
898	53276	5985
899	53336	5926
900	53395	5866
901	53459	5808
902	53519	5749
903	53574	5689
904	53637	5630
905	53699	5571
906	53754	5511
907	53814	5452
908	53868	5392
909	53928	5333
910	53986	5274
911	54042	5214
912	54101	5155
913	54153	5095
914	54216	5036
915	54274	4977
916	54330	4917
917	54388	4858
918	54446	4798
919	54504	4739
920	54559	4679
921	54623	4621
922	54697	4563
923	54768	4504
924	54838	4446
925	54897	4387
926	54963	4328
927	55032	4269
928	55100	4211
929	55169	4152
930	55231	4093
931	55292	4034
932	55349	3974
933	55408	3915
934	55475	3856
935	55531	3796
936	55591	3737
937	55647	3678
938	55704	3618
939	55761	3559
940	55825	3500
941	55882	3440
942	55933	3380
943	55995	3321
944	56055	3262
945	56108	3202
946	56168	3143
947	56230	3084
948	56285	3024
949	56350	2965
950	56408	2906
951	56467	2847
952	56527	2787
953	56605	2729
954	56680	2670
955	56742	2611
956	56805	2552
957	56866	2493
958	56929	2433
959	56982	2374
960	57035	2314
961	57089	2255
962	57147	2195
963	57211	2136
964	57277	2077
965	57346	2018
966	57404	1959
967	57472	1899
968	57537	1840
969	57599	1781
970	57655	1721
971	57719	1662
972	57780	1603
973	57842	1544
974	57901	1484
975	57965	1425
976	58020	1365
977	58078	1306
978	58138	1247
979	58191	1187
980	58244	1128
981	58294	1068
982	58344	1009
983	58404	949
984	58451	890
985	58512	830
986	58574	771
987	58625	712
988	58688	652
989	58751	593
990	58818	534
991	58885	474
992	58946	415
993	59007	356
994	59058	296
995	59117	237
996	59169	178
997	59228	118
998	59276	59
999	59330	0
