iter	Logloss
0	0.6568355273
1	0.6247697021
2	0.5972181152
3	0.572444248
4	0.5497992969
5	0.5287643359
6	0.5099249414
7	0.493733457
8	0.4795216797
9	0.4666944238
10	0.4559894043
11	0.4451716699
12	0.4361234424
13	0.428029834
14	0.4193518018
15	0.4119998877
16	0.4062933496
17	0.4000512646
18	0.3942097168
19	0.38978104
20	0.3846715869
21	0.3810013184
22	0.376639668
23	0.3730276563
24	0.3692184619
25	0.3666892773
26	0.3637285059
27	0.3610592334
28	0.3584581934
29	0.356209126
30	0.3537004736
31	0.3520931445
32	0.3496962207
33	0.3476484814
34	0.3458098291
35	0.3441623975
36	0.342089873
37	0.3405318164
38	0.3386045361
39	0.3366480762
40	0.3349323926
41	0.333583147
42	0.331831626
43	0.3305727661
44	0.3294427734
45	0.3287656787
46	0.3276724365
47	0.3262724414
48	0.3250784424
49	0.3243753735
50	0.323260542
51	0.3217428516
52	0.3210853638
53	0.3199324829
54	0.3193207813
55	0.3188738281
56	0.3182926587
57	0.3174046289
58	0.3167960425
59	0.3158416992
60	0.3152924194
61	0.3147460278
62	0.3141617212
63	0.3137226758
64	0.3129346118
65	0.3125338452
66	0.3121418823
67	0.3113941699
68	0.3110431641
69	0.3106544653
70	0.3101998926
71	0.3098347461
72	0.309458103
73	0.3088319141
74	0.3081973511
75	0.3075549683
76	0.3070785596
77	0.3063644678
78	0.3057513794
79	0.3054878467
80	0.3052057007
81	0.3047955054
82	0.3044922998
83	0.3042103394
84	0.3037976807
85	0.3032308276
86	0.3029494873
87	0.3025214331
88	0.3022341528
89	0.3019238062
90	0.3014933301
91	0.3012000049
92	0.3009155981
93	0.3006890576
94	0.3003682544
95	0.3000835767
96	0.2998239355
97	0.2995421875
98	0.2991732471
99	0.2988973779
100	0.2986379565
101	0.2984543921
102	0.2981916211
103	0.2978723926
104	0.2976362793
105	0.2974106055
106	0.2971203442
107	0.2967527075
108	0.2963885645
109	0.2961769214
110	0.2959398706
111	0.2956208838
112	0.2954338818
113	0.2951921753
114	0.2949817847
115	0.2947626733
116	0.2945378589
117	0.294290813
118	0.2940737891
119	0.2938250244
120	0.2936336523
121	0.2934722217
122	0.2932908862
123	0.2931120288
124	0.2928618872
125	0.2925832324
126	0.2924103857
127	0.2921932642
128	0.2919501416
129	0.2917570996
130	0.2915600024
131	0.291332793
132	0.2911104712
133	0.2908598462
134	0.2905737891
135	0.2903110425
136	0.2900570947
137	0.2898900415
138	0.2896485938
139	0.2894314185
140	0.2892035962
141	0.2889737744
142	0.2887524951
143	0.288555061
144	0.2883520679
145	0.2881769019
146	0.2879729517
147	0.2878016138
148	0.2875650977
149	0.2873205469
150	0.2871555005
151	0.2869131396
152	0.2867800781
153	0.2865824902
154	0.286348606
155	0.2861709106
156	0.2859001807
157	0.2857236157
158	0.2855558008
159	0.2854117285
160	0.2851875366
161	0.2849828418
162	0.2847239136
163	0.2845896265
164	0.2844291455
165	0.2842839819
166	0.2841645313
167	0.2839940723
168	0.2837649976
169	0.2836293652
170	0.2834155688
171	0.2832711719
172	0.28302927
173	0.2828250171
174	0.2826375708
175	0.2824457397
176	0.2822554077
177	0.2820817334
178	0.2818721289
179	0.2817142944
180	0.2814666895
181	0.2812163599
182	0.2810621606
183	0.2809394336
184	0.2807582349
185	0.2805605884
186	0.2803918188
187	0.2802238818
188	0.2800238281
189	0.2798182275
190	0.2796044873
191	0.2794306201
192	0.2792645435
193	0.279124458
194	0.2788730884
195	0.2786962646
196	0.278534165
197	0.278312937
198	0.278157041
199	0.2780035962
200	0.277788186
201	0.277622832
202	0.277451936
203	0.2772346753
204	0.2770694287
205	0.2769013965
206	0.276709624
207	0.2765445117
208	0.2764140771
209	0.2762902075
210	0.2761038477
211	0.2760786719
212	0.2758684521
213	0.2756619043
214	0.2754874487
215	0.275331062
216	0.275101062
217	0.2749095044
218	0.2747581445
219	0.274609834
220	0.2744473413
221	0.2742653003
222	0.2740345703
223	0.2738393701
224	0.2737273389
225	0.2735512988
226	0.2733589502
227	0.2731107104
228	0.2730031177
229	0.2728453687
230	0.2726969824
231	0.2725259448
232	0.2723534888
233	0.2721697778
234	0.2720129761
235	0.2718022144
236	0.271624436
237	0.2714005249
238	0.2712331421
239	0.2710971729
240	0.2709598242
241	0.270751604
242	0.2706316016
243	0.2704556543
244	0.2702226001
245	0.2700378882
246	0.2698465698
247	0.2696658789
248	0.2694637671
249	0.2692616992
250	0.2690808984
251	0.2688981006
252	0.2687710083
253	0.2686613452
254	0.26845854
255	0.2683220239
256	0.2681838184
257	0.2680657568
258	0.2678928516
259	0.2676971045
260	0.267546311
261	0.2674013794
262	0.267289458
263	0.2671129395
264	0.2670083765
265	0.266807854
266	0.26664073
267	0.2664866504
268	0.2664104199
269	0.2662573657
270	0.2661222949
271	0.2659758643
272	0.2657885889
273	0.2656373755
274	0.2654520239
275	0.265339043
276	0.2651400854
277	0.2648973511
278	0.2647467407
279	0.2645936401
280	0.2643619629
281	0.2641799805
282	0.2639774194
283	0.2638085425
284	0.2636438062
285	0.2634421851
286	0.263251604
287	0.2630693701
288	0.2628806885
289	0.262636582
290	0.2624992529
291	0.2623411646
292	0.2621852026
293	0.2620490552
294	0.2619169507
295	0.2617482642
296	0.261586167
297	0.2614329346
298	0.2612947852
299	0.261145481
300	0.2609808276
301	0.2608150562
302	0.2606331201
303	0.260496377
304	0.2603397876
305	0.2601955444
306	0.2600165942
307	0.2598490039
308	0.2597108765
309	0.2595124658
310	0.25936802
311	0.2592369751
312	0.2590714429
313	0.2588785278
314	0.2586373877
315	0.2584587573
316	0.2582981299
317	0.2581041211
318	0.2578597632
319	0.2577040625
320	0.2575988086
321	0.2573437109
322	0.2572223877
323	0.2570603223
324	0.256877876
325	0.2567719946
326	0.2566290259
327	0.2564470605
328	0.2562840308
329	0.2561373511
330	0.2560160645
331	0.2558373706
332	0.2557000122
333	0.2555172925
334	0.2553284326
335	0.2551577417
336	0.2549678638
337	0.2548129346
338	0.2546710742
339	0.2545199707
340	0.254398103
341	0.2542441431
342	0.2540871094
343	0.2539581836
